_step,step,eval/episode_reward,eval/episode_success_any,eval_idx,variant,seed,run_id,run_name
13475328.0,13475328.0,4.875,0.19921875,51,Vanilla CRL,0,tqletfk1,crl_hu50_s0
13729280.0,13729280.0,6.046875,0.2265625,52,Vanilla CRL,0,tqletfk1,crl_hu50_s0
13983232.0,13983232.0,7.328125,0.2578125,53,Vanilla CRL,0,tqletfk1,crl_hu50_s0
14237184.0,14237184.0,5.2890625,0.21484375,54,Vanilla CRL,0,tqletfk1,crl_hu50_s0
14491136.0,14491136.0,7.69921875,0.27734375,55,Vanilla CRL,0,tqletfk1,crl_hu50_s0
14745088.0,14745088.0,7.0703125,0.27734375,56,Vanilla CRL,0,tqletfk1,crl_hu50_s0
14999040.0,14999040.0,7.0703125,0.24609375,57,Vanilla CRL,0,tqletfk1,crl_hu50_s0
15252992.0,15252992.0,6.72265625,0.23828125,58,Vanilla CRL,0,tqletfk1,crl_hu50_s0
15506944.0,15506944.0,7.18359375,0.2265625,59,Vanilla CRL,0,tqletfk1,crl_hu50_s0
15760896.0,15760896.0,5.46875,0.25,60,Vanilla CRL,0,tqletfk1,crl_hu50_s0
16014848.0,16014848.0,5.87109375,0.23046875,61,Vanilla CRL,0,tqletfk1,crl_hu50_s0
16268800.0,16268800.0,6.10546875,0.234375,62,Vanilla CRL,0,tqletfk1,crl_hu50_s0
16522752.0,16522752.0,7.296875,0.23828125,63,Vanilla CRL,0,tqletfk1,crl_hu50_s0
16776704.0,16776704.0,7.70703125,0.23828125,64,Vanilla CRL,0,tqletfk1,crl_hu50_s0
17030656.0,17030656.0,5.21875,0.21484375,65,Vanilla CRL,0,tqletfk1,crl_hu50_s0
17284608.0,17284608.0,9.6015625,0.3125,66,Vanilla CRL,0,tqletfk1,crl_hu50_s0
17538560.0,17538560.0,7.0859375,0.2265625,67,Vanilla CRL,0,tqletfk1,crl_hu50_s0
17792512.0,17792512.0,7.86328125,0.265625,68,Vanilla CRL,0,tqletfk1,crl_hu50_s0
18046464.0,18046464.0,8.5390625,0.3125,69,Vanilla CRL,0,tqletfk1,crl_hu50_s0
18300416.0,18300416.0,7.03125,0.26171875,70,Vanilla CRL,0,tqletfk1,crl_hu50_s0
18554368.0,18554368.0,6.31640625,0.19140625,71,Vanilla CRL,0,tqletfk1,crl_hu50_s0
18808320.0,18808320.0,6.40625,0.2265625,72,Vanilla CRL,0,tqletfk1,crl_hu50_s0
19062272.0,19062272.0,4.96875,0.20703125,73,Vanilla CRL,0,tqletfk1,crl_hu50_s0
19316224.0,19316224.0,6.02734375,0.21875,74,Vanilla CRL,0,tqletfk1,crl_hu50_s0
19570176.0,19570176.0,6.6328125,0.234375,75,Vanilla CRL,0,tqletfk1,crl_hu50_s0
19824128.0,19824128.0,7.49609375,0.30859375,76,Vanilla CRL,0,tqletfk1,crl_hu50_s0
20078080.0,20078080.0,7.046875,0.2734375,77,Vanilla CRL,0,tqletfk1,crl_hu50_s0
20332032.0,20332032.0,5.9921875,0.2421875,78,Vanilla CRL,0,tqletfk1,crl_hu50_s0
20585984.0,20585984.0,5.140625,0.234375,79,Vanilla CRL,0,tqletfk1,crl_hu50_s0
20839936.0,20839936.0,7.078125,0.24609375,80,Vanilla CRL,0,tqletfk1,crl_hu50_s0
21093888.0,21093888.0,8.09375,0.30078125,81,Vanilla CRL,0,tqletfk1,crl_hu50_s0
21347840.0,21347840.0,6.80078125,0.25390625,82,Vanilla CRL,0,tqletfk1,crl_hu50_s0
21601792.0,21601792.0,8.18359375,0.26953125,83,Vanilla CRL,0,tqletfk1,crl_hu50_s0
21855744.0,21855744.0,8.05078125,0.265625,84,Vanilla CRL,0,tqletfk1,crl_hu50_s0
22109696.0,22109696.0,8.65625,0.265625,85,Vanilla CRL,0,tqletfk1,crl_hu50_s0
