_step,step,eval/episode_reward,eval/episode_success_any,eval_idx,variant,seed,run_id,run_name
18427392.0,18427392.0,27.14453125,0.06640625,51,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
18776576.0,18776576.0,18.0,0.0625,52,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
19125760.0,19125760.0,25.42578125,0.08984375,53,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
19474944.0,19474944.0,22.8984375,0.078125,54,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
19824128.0,19824128.0,32.45703125,0.10546875,55,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
20173312.0,20173312.0,24.98828125,0.0703125,56,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
20522496.0,20522496.0,38.9296875,0.109375,57,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
20871680.0,20871680.0,22.65234375,0.078125,58,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
21220864.0,21220864.0,39.35546875,0.10546875,59,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
21570048.0,21570048.0,52.546875,0.09375,60,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
21919232.0,21919232.0,22.78515625,0.0625,61,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
22268416.0,22268416.0,30.6328125,0.08984375,62,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
22617600.0,22617600.0,46.1640625,0.09765625,63,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
22966784.0,22966784.0,41.41015625,0.109375,64,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
23315968.0,23315968.0,53.70703125,0.09375,65,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
23665152.0,23665152.0,55.06640625,0.12109375,66,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
24014336.0,24014336.0,46.44140625,0.11328125,67,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
24363520.0,24363520.0,45.69921875,0.109375,68,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
24712704.0,24712704.0,20.66796875,0.08984375,69,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
25061888.0,25061888.0,31.48828125,0.0859375,70,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
25411072.0,25411072.0,41.1328125,0.09375,71,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
25760256.0,25760256.0,33.73828125,0.10546875,72,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
26109440.0,26109440.0,30.91796875,0.1015625,73,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
26458624.0,26458624.0,61.33984375,0.140625,74,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
26807808.0,26807808.0,47.375,0.11328125,75,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
27156992.0,27156992.0,67.76171875,0.16796875,76,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
27506176.0,27506176.0,51.76953125,0.12109375,77,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
27855360.0,27855360.0,51.23828125,0.1328125,78,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
28204544.0,28204544.0,38.36328125,0.11328125,79,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
28553728.0,28553728.0,62.68359375,0.14453125,80,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
28902912.0,28902912.0,44.140625,0.12109375,81,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
29252096.0,29252096.0,18.3828125,0.07421875,82,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
29601280.0,29601280.0,35.87109375,0.1015625,83,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
29950464.0,29950464.0,60.86328125,0.12109375,84,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
30299648.0,30299648.0,58.421875,0.15234375,85,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
30648832.0,30648832.0,55.3828125,0.140625,86,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
30998016.0,30998016.0,43.59375,0.10546875,87,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
31347200.0,31347200.0,47.61328125,0.12109375,88,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
31696384.0,31696384.0,45.91796875,0.109375,89,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
32045568.0,32045568.0,56.08203125,0.1484375,90,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
32394752.0,32394752.0,44.45703125,0.13671875,91,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
32743936.0,32743936.0,22.34765625,0.1171875,92,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
33093120.0,33093120.0,65.94921875,0.140625,93,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
33442304.0,33442304.0,37.12890625,0.10546875,94,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
33791488.0,33791488.0,42.39453125,0.0859375,95,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
34140672.0,34140672.0,40.7890625,0.125,96,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
34489856.0,34489856.0,62.5234375,0.1484375,97,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
34839040.0,34839040.0,42.234375,0.10546875,98,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
35188224.0,35188224.0,52.421875,0.13671875,99,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
35537408.0,35537408.0,53.70703125,0.1328125,100,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
35886592.0,35886592.0,43.13671875,0.140625,101,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
36235776.0,36235776.0,67.796875,0.17578125,102,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
36584960.0,36584960.0,52.625,0.171875,103,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
36934144.0,36934144.0,54.35546875,0.15625,104,Vanilla CRL,0,f14tzlyf,crl_ab70_s0
